id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,78479,0,1,639,167,350.0,97.5,1.0185531377792358,0.9830257296562195,0,0,640,480
1,15090,279,156,113,144,330.0,247.5,1.0090209245681763,0.9816567897796631,0,0,640,480
2,211737,0,117,639,357,410.0,307.5,1.0088735818862915,0.8391687870025635,0,0,640,480
3,78644,0,1,639,358,290.0,82.5,0.9983167052268982,0.8943870067596436,0,0,640,480
4,744,550,168,89,9,610.0,172.5,0.9912948608398438,0.95686274766922,0,0,640,480
5,458,356,196,32,24,370.0,202.5,0.9832521080970764,0.9891067743301392,0,0,640,480
6,6961,566,208,73,183,570.0,217.5,0.9797278642654419,0.9794326424598694,0,0,640,480
7,1473,299,248,59,38,330.0,277.5,0.9660964012145996,0.9620253443717957,0,0,640,480
8,3186,550,168,89,39,630.0,202.5,0.965883731842041,0.9856653213500977,0,0,640,480
9,400,300,173,33,14,330.0,172.5,0.9648863077163696,0.9925373196601868,0,0,640,480
10,6958,556,181,83,192,630.0,322.5,0.962827205657959,0.9703798294067383,0,0,640,480
11,402,331,202,21,23,350.0,217.5,0.9374074935913086,0.9754902124404907,0,0,640,480
12,767,280,156,28,32,290.0,157.5,0.936072826385498,0.971794843673706,0,0,640,480
13,3258,281,157,111,37,350.0,172.5,0.933784008026123,0.8825057744979858,0,0,640,480
14,139,342,242,13,12,350.0,247.5,0.9300036430358887,0.9714285731315613,0,0,640,480
15,108,226,357,11,10,230.0,367.5,0.927280604839325,0.9724770784378052,0,0,640,480
16,128,343,253,12,12,350.0,262.5,0.9269315004348755,0.9389312863349915,0,0,640,480
17,534,289,193,20,32,290.0,217.5,0.9178968071937561,0.9655796885490417,0,0,640,480
18,43,370,169,12,3,370.0,172.5,0.901427149772644,0.9767441749572754,0,0,640,480